,Year,Type,Country,Activity,sex,Injury,Fatal
5102,1928,Provoked,ITALY,Boating,MALE,"No injury, shark approached the boat, he hit it with and oar and fell into the sea PROVOKED INCIDENT",NO
5103,1928,Unprovoked,USA,Swimming,MALE,Bitten on leg,NO
5104,1928,Invalid,INDIA,UNKNOWN,MALE,No details,UNKNOWN
5105,1928,Unprovoked,AUSTRALIA,Fishing,MALE,Severe lacerations to arm,NO
5106,1928,Unprovoked,AUSTRALIA,Treading water,MALE,Tissue of left leg stripped from knee to ankle ,NO
5107,1928,Unprovoked,JAMAICA,Diving,MALE,FATAL,YES
5108,1928,Unprovoked,AUSTRALIA,Bathing,MALE,Lacerations to right leg ,NO
5109,1928,Unprovoked,AUSTRALIA,Standing in waist-deep water,MALE,"FATAL, right hand severed, large lacerations on thigh",YES
5110,1928,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Hip bitten,NO
5111,1928,Unprovoked,AUSTRALIA,Pearl diving,MALE,FATAL,YES
5112,1928,Unprovoked,COSTA RICA,Swimming,FEMALE,Right leg severely lacerated. Surgically amputated,NO
5113,1928,Unprovoked,COSTA RICA,Swimming,MALE,Right leg & hand severely lacerated,NO
5114,1928,Unprovoked,AUSTRALIA,Retrieving meat from a cage in the water,MALE,FATAL,YES
5115,1928,Invalid,USA,Swimming,UNKNOWN,Body not recovered ,UNKNOWN
5116,1928,Invalid,USA,Jumped overboard and swimming,MALE,"FATAL, presumed taken by shark/s",UNKNOWN
5117,1928,Unprovoked,SOUTH AFRICA,UNKNOWN,FEMALE,Leg lacerated,NO
5118,1928,Unprovoked,SOUTH AFRICA,Body surfing,MALE,Foot bitten,NO
5119,1928,Unprovoked,SOUTH AFRICA,Standing,MALE,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed ",NO
5120,1927,Unprovoked,SOUTH AFRICA,Swimming,MALE,"FATAL, leg bitten  ",YES
5121,1927,Sea Disaster,AUSTRALIA,The steamer Tahiti collided with the ferry Greycliffe,UNKNOWN,40 people perished,YES
5122,1927,Sea Disaster,BRAZIL,Italian liner Principessa Mafalda sank,UNKNOWN,"Of 1256 on board, 295 perished, some were taken by sharks",YES
5123,1927,Unprovoked,AUSTRALIA,Riding horseback across the creek,MALE,No injury to man or horse,NO
5124,1927,Unprovoked,FIJI,"Standing, collecting bananas",MALE,Leg bitten. He survived,NO
5125,1927,Boating,AUSTRALIA,UNKNOWN,UNKNOWN,"No injury to occupants, boat was bumped & lifted 2' out of the water by the shark",NO
5126,1927,Sea Disaster,PHILIPPINES,Sea disaster,UNKNOWN," 55  perished, some were  taken by sharks",YES
5127,1927,Unprovoked,AUSTRALIA,Walking,MALE,FATAL,YES
5128,1927,Unprovoked,AUSTRALIA,Diving,MALE,Extensive injuries to left leg,NO
5129,1927,Unprovoked,AUSTRALIA,Pearl diving,MALE,Leg injured,NO
5130,1927,Unprovoked,AUSTRALIA,Body surfing / treading water,MALE,"Right buttock & thigh bitten, thumb removed",NO
5131,1927,Provoked,NICARAGUA,Feeling the sharks teeth,MALE,"Sharkss jaws snapped shut, lacerating his right hand PROVOKED INCIDENT",NO
5132,1927,Unprovoked,AUSTRALIA,Attempting to rescue drowning man,MALE,"No injury, but trouser leg shredded by shark",NO
5133,1927,Provoked,NEW ZEALAND,Fishing,MALE,Severely bitten by shark caught 30 minutes earlier  PROVOKED INCIDENT,NO
5134,1927,Unprovoked,SOUTH AFRICA,Body surfing,MALE,Both thighs  lacerated,NO
5135,1927,Unprovoked,USA,Swimming,MALE,Lost hand,NO
5136,1927,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, leg bitten from thigh to ankle",YES
5137,1927,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, shoulder bitten ",YES
5138,1927,Unprovoked,AUSTRALIA,Pearl diving,MALE,Shoulder bitten,NO
5139,1926,Unprovoked,AUSTRALIA,Diving for trochus,MALE,FATAL,YES
5140,1926,Unprovoked,AUSTRALIA,Diving,MALE,Arm injured,NO
5141,1926,Unprovoked,PAPUA NEW GUINEA,Jumped into the water,MALE,"FATAL, abdomen bitten",YES
5142,1926,Unprovoked,AUSTRALIA,Bathing,MALE,"3"" laceration to leg",NO
5143,1926,Sea Disaster,BERMUDA,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,UNKNOWN,"Of 104 people in the water, only 20 survived. 84 people were lost, many to sharks. Sharks 2 pulled crew off life rafts",NO
5144,1926,Unprovoked,PAPUA NEW GUINEA,Jumped out of canoe,MALE,FATAL,YES
5145,1926,Unprovoked,USA,Swimming,MALE,FATAL,YES
5146,1926,Unprovoked,ITALY,Swimming,MALE,"FATAL, body was not recovered",YES
5147,1926,Boating,USA,Fishing,MALE,No injury to occupants,NO
5148,1926,Unprovoked,USA,Swimming with dog near canning factory,MALE,Leg & hand lacerated and dog bitten,NO
5149,1926,Invalid,SPAIN,Bathing,MALE,No injury,UNKNOWN
5150,1926,Unprovoked,USA,Swimming,MALE,"FATAL, gave sudden shriek & disappeared, body found in shark caught off Kahuka",YES
5151,1926,Unprovoked,SOUTH ATLANTIC OCEAN,Fell overboard from SS Ripley Castle,MALE,When taken back on board 2 hours later both legs were bleeding from shark bites,NO
5152,1926,Unprovoked,USA,Swimming,FEMALE,Right leg bitten thigh to heel,NO
5153,1926,Unprovoked,AUSTRALIA,Swimming ,FEMALE,FATAL,YES
5154,1926,Unprovoked,SOUTH AFRICA,Swimming,MALE,Thigh lacerated,NO
5155,1926,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Leg lacerated,NO
5156,1926,Unprovoked,MONACO,UNKNOWN,MALE,FATAL,YES
5157,1926,Provoked,NEW ZEALAND,Shark hoisted on board liner Tahiti,MALE,"Struck on head by sharks tail, knocked unconscious & deep gash in head PROVOKED INCIDENT",NO
5158,1926,Unprovoked,SINGAPORE,Dived onto shark from floating stage,FEMALE,"FATAL, femoral artery severed ",YES
5159,1926,Unprovoked,SOUTH AFRICA,Swimming to mail boat,MALE,No details,UNKNOWN
5160,1925,Unprovoked,AUSTRALIA,Floating on his back,MALE,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",YES
5161,1925,Unprovoked,USA,UNKNOWN,FEMALE,Laceration across abdomen,NO
5162,1925,Unprovoked,USA,UNKNOWN,MALE,Both calves lacerated,NO
5163,1925,Provoked,SPAIN,Fishing,MALE,Right hand bitten by hooked shark PROVOKED INCIDENT,NO
5164,1925,Unprovoked,ENGLAND,Fishing,MALE,No injury but shark lifted boat out of the water,NO
5165,1925,Unprovoked,USA,Swimming,FEMALE,"Multiple lacerations on both thighs, right buttock and hip",NO
5166,1925,Invalid,AUSTRALIA,UNKNOWN,UNKNOWN,Human arm found in shark,UNKNOWN
5167,1925,Unprovoked,USA,UNKNOWN,MALE,"Right arm nearly severed at shoulder, left wrist lacerated",NO
5168,1925,Unprovoked,AUSTRALIA,Bathing in waist-deep water,MALE,"Left thigh bitten, leg surgically amputated ",NO
5169,1925,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, right forearm severed, lacerations from buttocks to heel L",YES
5170,1925,Unprovoked,PAPUA NEW GUINEA,Swimming,MALE,FATAL,YES
5171,1925,Unprovoked,USA,Swimming,MALE,Lacerations to arm,NO
5172,1925,Unprovoked,CANADA,"Diving, repairing water main at depth of 90'",MALE,"Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",NO
5173,1925,Unprovoked,FIJI,Diving for coins tossed from passenger ship,MALE,"Both arms bitten, surgically amputated",NO
5174,1924,Unprovoked,MEXICO,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,FEMALE,FATAL,YES
5175,1924,Unprovoked,PANAMA,"Inebriated, woke from sleep and fell off deck into the water ",MALE,Knee bitten,NO
5176,1924,Unprovoked,USA,Bathing,MALE,"FATAL, hand severed, both legs & arms bitten & nearly severed ",YES
5177,1924,Provoked,FRENCH POLYNESIA,Pearl diving,MALE,Abrasions PROVOKED ATTACK,NO
5178,1924,Unprovoked,AUSTRALIA,Bathing,MALE,Leg bitten,NO
5179,1924,Unprovoked,USA,Standing,MALE,Left knee & leg bitten. (Tooth fragment recovered from kneecap),NO
5180,1924,Provoked,ENGLAND,Fishing for mackerel,MALE,Arms broken by hooked shark PROVOKED INCIDENT,NO
5181,1924,Boating,USA,Fishing,MALE,"No injury, shark tore hole in the side of the boat",NO
5182,1924,Provoked,USA,Removing shark from a net,MALE,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,NO
5183,1924,Unprovoked,AUSTRALIA,"Fishing, fell in water & swimming strongly to shore",MALE,"FATAL, partial remains recovered ",YES
5184,1924,Unprovoked,PANAMA,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",MALE,"Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",NO
5185,1924,Invalid,AUSTRALIA,Swimming ,MALE,Abrasions,UNKNOWN
5186,1924,Unprovoked,SOLOMON ISLANDS,Swimming,MALE,"Left arm severed, leg bitten",NO
5187,1924,Boating,SPAIN,Fishing,UNKNOWN,"No injury to occupants, shark bit boat",NO
5188,1924,Unprovoked,AUSTRALIA,Bathing in 5' of water,FEMALE,"Legs severely bitten, surgically amputated",NO
5189,1924,Invalid,AUSTRALIA,Bathing,MALE,Probable drowning & scavenging,UNKNOWN
5190,1924,Unprovoked,SOUTH AFRICA,Swimming,MALE,FATAL,YES
5191,1924,Unprovoked,SOUTH AFRICA,Swimming,MALE,Foot lacerated,NO
5192,1924,Unprovoked,AUSTRALIA,Had just dived into water & was swimming,MALE,"FATAL, right thigh severely bitten, left arm lacerated ",YES
5193,1923,Unprovoked,AUSTRALIA,Swimming,MALE,Lacerations to leg,NO
5194,1923,Unprovoked,AUSTRALIA,"Fishing, standing in waist-deep water",MALE,"FATAL, disappeared, thought to have been taken by a shark ",YES
5195,1923,Unprovoked,AUSTRALIA,Dry shelling,MALE,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",YES
5196,1923,Invalid,AUSTRALIA,Fishing,MALE,FATAL,UNKNOWN
5197,1923,Invalid,AUSTRALIA,Sailing,MALE,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",UNKNOWN
5198,1923,Boating,AUSTRALIA,Fishing,UNKNOWN,"No injury to occupants, shark bit boat",NO
5199,1923,Unprovoked,AUSTRALIA,Pearl diving,MALE,"Arm severed, but survived",NO
5200,1923,Unprovoked,GUYANA,Fishing,MALE,Puncture wounds to left leg,NO
5201,1923,Unprovoked,AUSTRALIA,Diving for pearl,MALE,non-fatal,NO
5202,1923,Boating,AUSTRALIA,"After rowing skiff was holed by shark, he was attempting to swim ashore",MALE,"FATAL, taken by shark. Two other men drowned,  only 1 man survived",YES
5203,1923,Boating,MEXICO,Dismantling cable buoys of the cable ship All America,UNKNOWN,"No injury to occupants, shark rammed boat",NO
5204,1923,Unprovoked,AUSTRALIA,Wading,MALE,Minor puncture wounds to foot,NO
5205,1923,Unprovoked,AUSTRALIA,Diving?,MALE,FATAL,YES
5206,1923,Unprovoked,AUSTRALIA,Diving,MALE,Lacerations to right thigh and knee,NO
5207,1923,Unprovoked,USA,Swimming ,MALE,"Right calf, right side of abdomen & left wrist & hand bitten",NO
5208,1923,Invalid,AUSTRALIA,UNKNOWN,MALE,Death may have been due to drowning,UNKNOWN
5209,1923,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, back of thigh bitten ",YES
5210,1923,Invalid,CUBA,seaplane Columbus ditched in the sea,MALE,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",UNKNOWN
5211,1923,Boating,USA,Fishing,MALE,No injury to occupant Shark struck boat,NO
5212,1923,Unprovoked,PHILIPPINES,UNKNOWN,MALE,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  ",YES
5213,1923,Provoked,USA,Hoisting shark aboard fishing boat,MALE,Shark's tail broke his leg. PROVOKED INCIDENT,NO
5214,1922,Provoked,USA,Hoisting shark aboard fishing boat,MALE,Shark's tail broke his leg. PROVOKED INCIDENT,NO
5215,1922,Unprovoked,USA,Bathing,FEMALE,"FATAL, hip & thigh bitten with  tissue removed, including bone ",YES
5216,1922,Unprovoked,AUSTRALIA,Bathing in 3' to 4' of water,MALE,"FATAL, severe injuries to torso  ",YES
5217,1922,Unprovoked,BARBADOS,Fishing,MALE,FATAL,YES
5218,1922,Invalid,AUSTRALIA,Sailing,MALE,"FATAL, but shark involvement prior to death unconfirmed",UNKNOWN
5219,1922,Unprovoked,USA,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",MALE,Survived,NO
5220,1922,Unprovoked,ENGLAND,Swimming ,MALE,FATAL,YES
5221,1922,Boating,USA,Fishing,UNKNOWN,"No injury to occupants, shark splintered stern",NO
